Location	Date	VW_30cm	VW_60cm	VW_90cm	VW_120cm	VW_150cm	T_30cm	T_60cm	T_90cm	T_120cm	T_150cm
CAF231	04/20/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/21/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/22/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/23/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/24/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/25/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/26/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/27/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/28/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/29/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	04/30/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	05/01/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	05/02/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	05/03/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	05/04/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	05/05/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	05/06/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF231	05/07/2007	0.31	0.258	0.418	0.511	0.528	10.95	8.98	8.6	8.2	8
CAF231	05/08/2007	0.31	0.258	0.419	0.511	0.527	11.41	9.27	8.65	8.2	8
CAF231	05/09/2007	0.312	0.259	0.419	0.511	0.524	12.59	9.83	8.85	8.28	8.01
CAF231	05/10/2007	0.312	0.26	0.42	0.511	0.521	13.15	10.36	9.11	8.39	8.09
