"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-01","11.63",",,W"," 0714",",,W","0.00","T,,W",,,,,,,,,"42",",,W","35",",,W",,,"  250",",,W","  200",",,W","21.9",",,W","33.1",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-02","6.26",",,W"," 0851",",,W","0.02",",,W",,,,,,,,,"47",",,W","37",",,W",,,"  120",",,W","  340",",,W","14.1",",,W","28.0",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-03","8.72",",,W"," 0820",",,W","0.02",",,W",,,,,,,,,"44",",,W","32",",,W",,,"  240",",,W","   90",",,W","19.9",",,W","29.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-04","9.40",",,W"," 0154",",,W","0.00","T,,W",,,,,,,,,"47",",,W","34",",,W",,,"  100",",,W","  230",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-05","12.75",",,W"," 0935",",,W","0.00",",,W",,,,,,,,,"51",",,W","38",",,W",,,"  130",",,W","   20",",,W","19.9",",,W","30.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-06","8.05",",,W"," 1044",",,W","0.00",",,W",,,,,,,,,"49",",,W","42",",,W",,,"  130",",,W","  340",",,W","16.1",",,W","25.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-07","10.07",",,W"," 2050",",,W","0.09",",,W",,,,,,,,,"49",",,W","35",",,W",,,"  240",",,W","  230",",,W","29.1",",,W","36.0",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-08","10.51",",,W"," 0249",",,W","0.00",",,W",,,,,,,,,"43",",,W","32",",,W",,,"  240",",,W","  240",",,W","21.9",",,W","30.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-09","16.78",",,W"," 2122",",,W","0.03",",,W",,,,,,,,,"42",",,W","32",",,W",,,"  160",",,W","  160",",,W","25.9",",,W","36.9",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-01-10","16.33",",,W"," 1036",",,W","0.57",",,W",,,,,,,,,"52",",,W","39",",,W",,,"  230",",,W","  230",",,W","31.1",",,W","42.9",",,W",,,,,,,,,,
